#NAME,SYMBOL,OLD SYMBOL
Nasdaq Asia Consumer Discretionary Large Mid Cap TR Index,NQASIA40LMT,
Nasdaq Asia Consumer Discretionary NTR Index,NQASIA40N,
Nasdaq Asia Consumer Discretionary TR Index,NQASIA40T,
Nasdaq Asia Consumer Staples AUD Index,NQASIA45AUD,
Nasdaq Asia Consumer Staples AUD NTR Index,NQASIA45AUDN,
Nasdaq Asia Consumer Staples AUD TR Index,NQASIA45AUDT,
Nasdaq Asia Consumer Staples CAD Index,NQASIA45CAD,
Nasdaq Asia Consumer Staples CAD NTR Index,NQASIA45CADN,
Nasdaq Asia Consumer Staples CAD TR Index,NQASIA45CADT,
Nasdaq Asia Consumer Staples EUR Index,NQASIA45EUR,
Nasdaq Asia Consumer Staples EUR NTR Index,NQASIA45EURN,
Nasdaq Asia Consumer Staples EUR TR Index,NQASIA45EURT,
Nasdaq Asia Consumer Staples GBP Index,NQASIA45GBP,
Nasdaq Asia Consumer Staples GBP NTR Index,NQASIA45GBPN,
Nasdaq Asia Consumer Staples GBP TR Index,NQASIA45GBPT,
Nasdaq Asia Consumer Staples Index,NQASIA45,
Nasdaq Asia Consumer Staples JPY Index,NQASIA45JPY,
Nasdaq Asia Consumer Staples JPY NTR Index,NQASIA45JPYN,
Nasdaq Asia Consumer Staples JPY TR Index,NQASIA45JPYT,
Nasdaq Asia Consumer Staples Large Mid Cap AUD Index,NQASIA45LMAUD,
Nasdaq Asia Consumer Staples Large Mid Cap AUD NTR Index,NQASIA45LMAUDN,
Nasdaq Asia Consumer Staples Large Mid Cap AUD TR Index,NQASIA45LMAUDT,
Nasdaq Asia Consumer Staples Large Mid Cap CAD Index,NQASIA45LMCAD,
Nasdaq Asia Consumer Staples Large Mid Cap CAD NTR Index,NQASIA45LMCADN,
Nasdaq Asia Consumer Staples Large Mid Cap CAD TR Index,NQASIA45LMCADT,
Nasdaq Asia Consumer Staples Large Mid Cap EUR Index,NQASIA45LMEUR,
Nasdaq Asia Consumer Staples Large Mid Cap EUR NTR Index,NQASIA45LMEURN,
Nasdaq Asia Consumer Staples Large Mid Cap EUR TR Index,NQASIA45LMEURT,
Nasdaq Asia Consumer Staples Large Mid Cap GBP Index,NQASIA45LMGBP,
Nasdaq Asia Consumer Staples Large Mid Cap GBP NTR Index,NQASIA45LMGBPN,
Nasdaq Asia Consumer Staples Large Mid Cap GBP TR Index,NQASIA45LMGBPT,
Nasdaq Asia Consumer Staples Large Mid Cap Index,NQASIA45LM,
Nasdaq Asia Consumer Staples Large Mid Cap JPY Index,NQASIA45LMJPY,
Nasdaq Asia Consumer Staples Large Mid Cap JPY NTR Index,NQASIA45LMJPYN,
Nasdaq Asia Consumer Staples Large Mid Cap JPY TR Index,NQASIA45LMJPYT,
Nasdaq Asia Consumer Staples Large Mid Cap NTR Index,NQASIA45LMN,
Nasdaq Asia Consumer Staples Large Mid Cap TR Index,NQASIA45LMT,
Nasdaq Asia Consumer Staples NTR Index,NQASIA45N,
Nasdaq Asia Consumer Staples TR Index,NQASIA45T,
Nasdaq Asia Energy AUD Index,NQASIA60AUD,NQASIA0001AUD
Nasdaq Asia Energy AUD NTR Index,NQASIA60AUDN,NQASIA0001AUDN
Nasdaq Asia Energy AUD TR Index,NQASIA60AUDT,NQASIA0001AUDT
Nasdaq Asia Energy CAD Index,NQASIA60CAD,NQASIA0001CAD
Nasdaq Asia Energy CAD NTR Index,NQASIA60CADN,NQASIA0001CADN
Nasdaq Asia Energy CAD TR Index,NQASIA60CADT,NQASIA0001CADT
Nasdaq Asia Energy EUR Index,NQASIA60EUR,NQASIA0001EUR
Nasdaq Asia Energy EUR NTR Index,NQASIA60EURN,NQASIA0001EURN
Nasdaq Asia Energy EUR TR Index,NQASIA60EURT,NQASIA0001EURT
Nasdaq Asia Energy GBP Index,NQASIA60GBP,NQASIA0001GBP
Nasdaq Asia Energy GBP NTR Index,NQASIA60GBPN,NQASIA0001GBPN
Nasdaq Asia Energy GBP TR Index,NQASIA60GBPT,NQASIA0001GBPT
Nasdaq Asia Energy Index,NQASIA60,NQASIA0001
Nasdaq Asia Energy JPY Index,NQASIA60JPY,NQASIA0001JPY
Nasdaq Asia Energy JPY NTR Index,NQASIA60JPYN,NQASIA0001JPYN
Nasdaq Asia Energy JPY TR Index,NQASIA60JPYT,NQASIA0001JPYT
Nasdaq Asia Energy Large Mid Cap AUD Index,NQASIA60LMAUD,NQASIA0001LMAUD
Nasdaq Asia Energy Large Mid Cap AUD NTR Index,NQASIA60LMAUDN,NQASIA0001LMAUDN
Nasdaq Asia Energy Large Mid Cap AUD TR Index,NQASIA60LMAUDT,NQASIA0001LMAUDT
Nasdaq Asia Energy Large Mid Cap CAD Index,NQASIA60LMCAD,NQASIA0001LMCAD
Nasdaq Asia Energy Large Mid Cap CAD NTR Index,NQASIA60LMCADN,NQASIA0001LMCADN
Nasdaq Asia Energy Large Mid Cap CAD TR Index,NQASIA60LMCADT,NQASIA0001LMCADT
Nasdaq Asia Energy Large Mid Cap EUR Index,NQASIA60LMEUR,NQASIA0001LMEUR
Nasdaq Asia Energy Large Mid Cap EUR NTR Index,NQASIA60LMEURN,NQASIA0001LMEURN
Nasdaq Asia Energy Large Mid Cap EUR TR Index,NQASIA60LMEURT,NQASIA0001LMEURT
Nasdaq Asia Energy Large Mid Cap GBP Index,NQASIA60LMGBP,NQASIA0001LMGBP
Nasdaq Asia Energy Large Mid Cap GBP NTR Index,NQASIA60LMGBPN,NQASIA0001LMGBPN
Nasdaq Asia Energy Large Mid Cap GBP TR Index,NQASIA60LMGBPT,NQASIA0001LMGBPT
Nasdaq Asia Energy Large Mid Cap Index,NQASIA60LM,NQASIA0001LM
Nasdaq Asia Energy Large Mid Cap JPY Index,NQASIA60LMJPY,NQASIA0001LMJPY
Nasdaq Asia Energy Large Mid Cap JPY NTR Index,NQASIA60LMJPYN,NQASIA0001LMJPYN
Nasdaq Asia Energy Large Mid Cap JPY TR Index,NQASIA60LMJPYT,NQASIA0001LMJPYT
Nasdaq Asia Energy Large Mid Cap NTR Index,NQASIA60LMN,NQASIA0001LMN
Nasdaq Asia Energy Large Mid Cap TR Index,NQASIA60LMT,NQASIA0001LMT
Nasdaq Asia Energy NTR Index,NQASIA60N,NQASIA0001N
Nasdaq Asia Energy TR Index,NQASIA60T,NQASIA0001T
Nasdaq Asia Financials AUD Index,NQASIA30AUD,NQASIA8000AUD
Nasdaq Asia Financials AUD NTR Index,NQASIA30AUDN,NQASIA8000AUDN
Nasdaq Asia Financials AUD TR Index,NQASIA30AUDT,NQASIA8000AUDT
Nasdaq Asia Financials CAD Index,NQASIA30CAD,NQASIA8000CAD
Nasdaq Asia Financials CAD NTR Index,NQASIA30CADN,NQASIA8000CADN
Nasdaq Asia Financials CAD TR Index,NQASIA30CADT,NQASIA8000CADT
Nasdaq Asia Financials EUR Index,NQASIA30EUR,NQASIA8000EUR
Nasdaq Asia Financials EUR NTR Index,NQASIA30EURN,NQASIA8000EURN
Nasdaq Asia Financials EUR TR Index,NQASIA30EURT,NQASIA8000EURT
Nasdaq Asia Financials GBP Index,NQASIA30GBP,NQASIA8000GBP
Nasdaq Asia Financials GBP NTR Index,NQASIA30GBPN,NQASIA8000GBPN
Nasdaq Asia Financials GBP TR Index,NQASIA30GBPT,NQASIA8000GBPT
Nasdaq Asia Financials Index,NQASIA30,NQASIA8000
Nasdaq Asia Financials JPY Index,NQASIA30JPY,NQASIA8000JPY
Nasdaq Asia Financials JPY NTR Index,NQASIA30JPYN,NQASIA8000JPYN
Nasdaq Asia Financials JPY TR Index,NQASIA30JPYT,NQASIA8000JPYT
Nasdaq Asia Financials Large Mid Cap AUD Index,NQASIA30LMAUD,NQASIA8000LMAUD
Nasdaq Asia Financials Large Mid Cap AUD NTR Index,NQASIA30LMAUDN,NQASIA8000LMAUDN
Nasdaq Asia Financials Large Mid Cap AUD TR Index,NQASIA30LMAUDT,NQASIA8000LMAUDT
Nasdaq Asia Financials Large Mid Cap CAD Index,NQASIA30LMCAD,NQASIA8000LMCAD
Nasdaq Asia Financials Large Mid Cap CAD NTR Index,NQASIA30LMCADN,NQASIA8000LMCADN
Nasdaq Asia Financials Large Mid Cap CAD TR Index,NQASIA30LMCADT,NQASIA8000LMCADT
Nasdaq Asia Financials Large Mid Cap EUR Index,NQASIA30LMEUR,NQASIA8000LMEUR
Nasdaq Asia Financials Large Mid Cap EUR NTR Index,NQASIA30LMEURN,NQASIA8000LMEURN
Nasdaq Asia Financials Large Mid Cap EUR TR Index,NQASIA30LMEURT,NQASIA8000LMEURT
Nasdaq Asia Financials Large Mid Cap GBP Index,NQASIA30LMGBP,NQASIA8000LMGBP
Nasdaq Asia Financials Large Mid Cap GBP NTR Index,NQASIA30LMGBPN,NQASIA8000LMGBPN
Nasdaq Asia Financials Large Mid Cap GBP TR Index,NQASIA30LMGBPT,NQASIA8000LMGBPT
Nasdaq Asia Financials Large Mid Cap Index,NQASIA30LM,NQASIA8000LM
Nasdaq Asia Financials Large Mid Cap JPY Index,NQASIA30LMJPY,NQASIA8000LMJPY
Nasdaq Asia Financials Large Mid Cap JPY NTR Index,NQASIA30LMJPYN,NQASIA8000LMJPYN
Nasdaq Asia Financials Large Mid Cap JPY TR Index,NQASIA30LMJPYT,NQASIA8000LMJPYT
Nasdaq Asia Financials Large Mid Cap NTR Index,NQASIA30LMN,NQASIA8000LMN
Nasdaq Asia Financials Large Mid Cap TR Index,NQASIA30LMT,NQASIA8000LMT
Nasdaq Asia Financials NTR Index,NQASIA30N,NQASIA8000N
Nasdaq Asia Financials TR Index,NQASIA30T,NQASIA8000T
Nasdaq Asia Health Care AUD Index,NQASIA20AUD,NQASIA4000AUD
Nasdaq Asia Health Care AUD NTR Index,NQASIA20AUDN,NQASIA4000AUDN
Nasdaq Asia Health Care AUD TR Index,NQASIA20AUDT,NQASIA4000AUDT
Nasdaq Asia Health Care CAD Index,NQASIA20CAD,NQASIA4000CAD
Nasdaq Asia Health Care CAD NTR Index,NQASIA20CADN,NQASIA4000CADN
Nasdaq Asia Health Care CAD TR Index,NQASIA20CADT,NQASIA4000CADT
Nasdaq Asia Health Care EUR Index,NQASIA20EUR,NQASIA4000EUR
Nasdaq Asia Health Care EUR NTR Index,NQASIA20EURN,NQASIA4000EURN
Nasdaq Asia Health Care EUR TR Index,NQASIA20EURT,NQASIA4000EURT
Nasdaq Asia Health Care GBP Index,NQASIA20GBP,NQASIA4000GBP
Nasdaq Asia Health Care GBP NTR Index,NQASIA20GBPN,NQASIA4000GBPN
Nasdaq Asia Health Care GBP TR Index,NQASIA20GBPT,NQASIA4000GBPT
Nasdaq Asia Health Care Index,NQASIA20,NQASIA4000
Nasdaq Asia Health Care JPY Index,NQASIA20JPY,NQASIA4000JPY
Nasdaq Asia Health Care JPY NTR Index,NQASIA20JPYN,NQASIA4000JPYN
Nasdaq Asia Health Care JPY TR Index,NQASIA20JPYT,NQASIA4000JPYT
Nasdaq Asia Health Care Large Mid Cap AUD Index,NQASIA20LMAUD,NQASIA4000LMAUD
Nasdaq Asia Health Care Large Mid Cap AUD NTR Index,NQASIA20LMAUDN,NQASIA4000LMAUDN
Nasdaq Asia Health Care Large Mid Cap AUD TR Index,NQASIA20LMAUDT,NQASIA4000LMAUDT
Nasdaq Asia Health Care Large Mid Cap CAD Index,NQASIA20LMCAD,NQASIA4000LMCAD
Nasdaq Asia Health Care Large Mid Cap CAD NTR Index,NQASIA20LMCADN,NQASIA4000LMCADN
Nasdaq Asia Health Care Large Mid Cap CAD TR Index,NQASIA20LMCADT,NQASIA4000LMCADT
Nasdaq Asia Health Care Large Mid Cap EUR Index,NQASIA20LMEUR,NQASIA4000LMEUR
Nasdaq Asia Health Care Large Mid Cap EUR NTR Index,NQASIA20LMEURN,NQASIA4000LMEURN
Nasdaq Asia Health Care Large Mid Cap EUR TR Index,NQASIA20LMEURT,NQASIA4000LMEURT
Nasdaq Asia Health Care Large Mid Cap GBP Index,NQASIA20LMGBP,NQASIA4000LMGBP
Nasdaq Asia Health Care Large Mid Cap GBP NTR Index,NQASIA20LMGBPN,NQASIA4000LMGBPN
Nasdaq Asia Health Care Large Mid Cap GBP TR Index,NQASIA20LMGBPT,NQASIA4000LMGBPT
Nasdaq Asia Health Care Large Mid Cap Index,NQASIA20LM,NQASIA4000LM
Nasdaq Asia Health Care Large Mid Cap JPY Index,NQASIA20LMJPY,NQASIA4000LMJPY
Nasdaq Asia Health Care Large Mid Cap JPY NTR Index,NQASIA20LMJPYN,NQASIA4000LMJPYN
Nasdaq Asia Health Care Large Mid Cap JPY TR Index,NQASIA20LMJPYT,NQASIA4000LMJPYT
Nasdaq Asia Health Care Large Mid Cap NTR Index,NQASIA20LMN,NQASIA4000LMN
Nasdaq Asia Health Care Large Mid Cap TR Index,NQASIA20LMT,NQASIA4000LMT
Nasdaq Asia Health Care NTR Index,NQASIA20N,NQASIA4000N
Nasdaq Asia Health Care TR Index,NQASIA20T,NQASIA4000T
Nasdaq Asia Industrials AUD Index,NQASIA50AUD,NQASIA2000AUD
Nasdaq Asia Industrials AUD NTR Index,NQASIA50AUDN,NQASIA2000AUDN
Nasdaq Asia Industrials AUD TR Index,NQASIA50AUDT,NQASIA2000AUDT
Nasdaq Asia Industrials CAD Index,NQASIA50CAD,NQASIA2000CAD
Nasdaq Asia Industrials CAD NTR Index,NQASIA50CADN,NQASIA2000CADN
Nasdaq Asia Industrials CAD TR Index,NQASIA50CADT,NQASIA2000CADT
Nasdaq Asia Industrials EUR Index,NQASIA50EUR,NQASIA2000EUR
Nasdaq Asia Industrials EUR NTR Index,NQASIA50EURN,NQASIA2000EURN
